"id","user_answer_id","attempt_id","admin_id","old_is_correct","new_is_correct","reason","regraded_at","created_at"
"7c7f4bba-444b-4a2b-9da6-e49daef5b4f1","6f2e2224-d75f-49c8-9084-3db057778a56","a5c6b25b-e1c6-46e0-aa3f-8735d62c225c","5b4c2783-8afa-420e-b3a5-f761b472a503","false","true","Fraction","2025-08-31T19:25:03.844+00:00","2025-08-31T19:25:04.098569+00:00"
"510cf3e2-e4a5-4223-a156-cf6da67ec5fb","f1a77bf6-59b3-407c-9497-6c1ce5b070fa","7f262b2f-8d75-4a38-874f-1aa23ddea942","5b4c2783-8afa-420e-b3a5-f761b472a503","false","true","Manual regrade via exam review interface - marking as correct","2025-08-31T22:55:52.899+00:00","2025-08-31T22:55:53.164688+00:00"
"fac61da5-1b6e-47a2-8950-066c5fe8b25d","f1a77bf6-59b3-407c-9497-6c1ce5b070fa","7f262b2f-8d75-4a38-874f-1aa23ddea942","5b4c2783-8afa-420e-b3a5-f761b472a503","true","false","Manual regrade via exam review interface - marking as incorrect","2025-08-31T22:58:10.215+00:00","2025-08-31T22:58:10.356496+00:00"
"3562bfac-44fa-482d-a3ce-a5491b107650","c32336a7-b9a7-4f22-a4d4-55ac3604efe5","7f262b2f-8d75-4a38-874f-1aa23ddea942","5b4c2783-8afa-420e-b3a5-f761b472a503","false","true","Manual regrade via exam review interface - marking as correct","2025-08-31T23:10:03.269+00:00","2025-08-31T23:10:03.405932+00:00"
"1b9f11b3-9f0f-4fc8-8caf-d69e689f6d65","0c2b7b5f-008a-4969-8225-1c9183004d0f","a5c6b25b-e1c6-46e0-aa3f-8735d62c225c","5b4c2783-8afa-420e-b3a5-f761b472a503","true","false","Manual regrade via exam review interface - marking as incorrect","2025-09-01T23:47:04.616+00:00","2025-09-01T23:47:04.827805+00:00"
"d027ec08-2c2a-4573-b633-a74dd5b4ba28","0c2b7b5f-008a-4969-8225-1c9183004d0f","a5c6b25b-e1c6-46e0-aa3f-8735d62c225c","5b4c2783-8afa-420e-b3a5-f761b472a503","false","true","Manual regrade via exam review interface - marking as correct","2025-09-01T23:47:10.996+00:00","2025-09-01T23:47:11.251862+00:00"
"ec553fda-44eb-4000-bae6-1d0c5038d5a1","1b0cff7b-f976-4da0-9798-6169c76b22b7","f251f812-ef4a-4254-ab50-3209dfbd10e2","5b4c2783-8afa-420e-b3a5-f761b472a503","false","true","Manual regrade via exam review interface - marking as correct","2025-09-06T16:54:08.659+00:00","2025-09-06T16:54:08.825257+00:00"
"5f1a83c9-2d4f-431d-8378-4947eb07a951","59fc9e82-cf39-4f23-ab5b-e133e1265b2a","de21a951-bddd-4d74-9b09-36c27aa2134f","5b4c2783-8afa-420e-b3a5-f761b472a503","","true","Manual regrade via exam review interface - marking as correct","2025-09-20T00:12:28.298+00:00","2025-09-20T00:12:28.500132+00:00"
"2281cc0d-63e7-4e6f-a2f7-7afb0f46d7f5","69569e17-0633-49a0-a640-47d30c9c6cd9","de21a951-bddd-4d74-9b09-36c27aa2134f","5b4c2783-8afa-420e-b3a5-f761b472a503","","true","Manual regrade via exam review interface - marking as correct","2025-09-20T00:12:35.248+00:00","2025-09-20T00:12:35.453701+00:00"
"76b91d6a-d3e4-484e-b815-747e78a63a2c","69569e17-0633-49a0-a640-47d30c9c6cd9","de21a951-bddd-4d74-9b09-36c27aa2134f","5b4c2783-8afa-420e-b3a5-f761b472a503","true","false","Manual regrade via exam review interface - marking as incorrect","2025-09-20T00:12:43.225+00:00","2025-09-20T00:12:43.298834+00:00"
"07e0a127-ee5b-4196-97c1-f0e04bb2433b","59fc9e82-cf39-4f23-ab5b-e133e1265b2a","de21a951-bddd-4d74-9b09-36c27aa2134f","5b4c2783-8afa-420e-b3a5-f761b472a503","true","false","Manual regrade via exam review interface - marking as incorrect","2025-09-20T00:12:47.304+00:00","2025-09-20T00:12:47.36603+00:00"
"b482cc87-d6d6-4027-b3fd-a5c88db8d127","6695da5c-d16d-47e9-9c46-7e78b66f0235","de21a951-bddd-4d74-9b09-36c27aa2134f","5b4c2783-8afa-420e-b3a5-f761b472a503","","true","Manual regrade via exam review interface - marking as correct","2025-09-20T00:12:50.788+00:00","2025-09-20T00:12:50.85281+00:00"
"d03a9b56-1a8d-40fb-b95e-dd05781077b2","a2a60a50-d75e-4b61-8cf4-77311c9aa4d9","de21a951-bddd-4d74-9b09-36c27aa2134f","5b4c2783-8afa-420e-b3a5-f761b472a503","","true","Manual regrade via exam review interface - marking as correct","2025-09-20T00:12:55.09+00:00","2025-09-20T00:12:55.321737+00:00"
"eda3b434-e8c2-424f-aa36-931c9997bcf8","11ae44a1-1aef-4e38-bd0f-7c9521603ba7","de21a951-bddd-4d74-9b09-36c27aa2134f","5b4c2783-8afa-420e-b3a5-f761b472a503","","true","Manual regrade via exam review interface - marking as correct","2025-09-20T00:12:59.35+00:00","2025-09-20T00:12:59.541314+00:00"
"b64a5f0a-af51-4eaa-b312-391c248e586e","c3100203-e009-495c-a497-f3349260fc74","de21a951-bddd-4d74-9b09-36c27aa2134f","5b4c2783-8afa-420e-b3a5-f761b472a503","","true","Manual regrade via exam review interface - marking as correct","2025-09-20T00:13:04.468+00:00","2025-09-20T00:13:04.674236+00:00"
"a5c08927-0a41-4ee5-8345-b352ca46be51","eac47a26-1245-4ec2-887f-b71c3bf80d4f","de21a951-bddd-4d74-9b09-36c27aa2134f","5b4c2783-8afa-420e-b3a5-f761b472a503","","true","Manual regrade via exam review interface - marking as correct","2025-09-20T00:13:08.867+00:00","2025-09-20T00:13:09.060163+00:00"
"a56aeded-67bc-4989-ac27-5fd05da95445","a62d4ca2-734e-4a11-9ded-83ac5c0e8101","de21a951-bddd-4d74-9b09-36c27aa2134f","5b4c2783-8afa-420e-b3a5-f761b472a503","","true","Manual regrade via exam review interface - marking as correct","2025-09-20T00:13:12.514+00:00","2025-09-20T00:13:12.565747+00:00"
"1c403a78-5318-4c58-b602-958d483ac61e","53c9019c-076f-48f5-ab07-e0721c4739ee","de21a951-bddd-4d74-9b09-36c27aa2134f","5b4c2783-8afa-420e-b3a5-f761b472a503","","true","Manual regrade via exam review interface - marking as correct","2025-09-20T00:13:16.829+00:00","2025-09-20T00:13:17.056818+00:00"
"b1e43606-d315-43d4-97c5-6c33a5c8d0c1","08241efe-a5db-4d76-bcc7-d9bcfefdabe3","de21a951-bddd-4d74-9b09-36c27aa2134f","5b4c2783-8afa-420e-b3a5-f761b472a503","","true","Manual regrade via exam review interface - marking as correct","2025-09-20T00:13:20.428+00:00","2025-09-20T00:13:20.627401+00:00"
"e0330bee-8942-409f-91e2-5e4744b15374","95b57fd3-1f61-4703-b1a0-1b001f562acb","de21a951-bddd-4d74-9b09-36c27aa2134f","5b4c2783-8afa-420e-b3a5-f761b472a503","","true","Manual regrade via exam review interface - marking as correct","2025-09-20T00:13:26.227+00:00","2025-09-20T00:13:26.438135+00:00"
"f22d6ba3-99be-442b-a097-aa00f02a57fa","02930e94-4e9e-40c2-bbd4-a8b55d0e41b4","de21a951-bddd-4d74-9b09-36c27aa2134f","5b4c2783-8afa-420e-b3a5-f761b472a503","","true","Manual regrade via exam review interface - marking as correct","2025-09-20T00:13:30.398+00:00","2025-09-20T00:13:30.46335+00:00"
"27c3fc2b-84d0-4636-9b23-dde5785a4d61","4fd0bbbe-8eaa-4490-8c33-b150226568d3","de21a951-bddd-4d74-9b09-36c27aa2134f","5b4c2783-8afa-420e-b3a5-f761b472a503","","true","Manual regrade via exam review interface - marking as correct","2025-09-20T00:13:33.49+00:00","2025-09-20T00:13:33.558228+00:00"
"55ba7e7d-11d4-4831-9abf-9de567c2aae8","3153af17-da9a-4a21-93a2-1d65cc2ee1a2","de21a951-bddd-4d74-9b09-36c27aa2134f","5b4c2783-8afa-420e-b3a5-f761b472a503","","true","Manual regrade via exam review interface - marking as correct","2025-09-20T00:13:36.939+00:00","2025-09-20T00:13:36.996548+00:00"
"0803405a-f498-4ada-9fff-8086d47c70ce","a2b31dfe-885e-4588-a308-9ec4895851f5","de21a951-bddd-4d74-9b09-36c27aa2134f","5b4c2783-8afa-420e-b3a5-f761b472a503","","true","Manual regrade via exam review interface - marking as correct","2025-09-20T00:13:40.095+00:00","2025-09-20T00:13:40.157108+00:00"
"56d6356d-9f3b-4197-b887-7f6b0d05cd23","09b236fa-3a8c-4381-ac56-dd4539d25a96","de21a951-bddd-4d74-9b09-36c27aa2134f","5b4c2783-8afa-420e-b3a5-f761b472a503","","true","Manual regrade via exam review interface - marking as correct","2025-09-20T00:13:43.635+00:00","2025-09-20T00:13:43.696079+00:00"
"a3445588-a335-4f0e-bb6d-d28483eb3e35","7ca03c3b-c45b-4f5f-87bd-9800aad25ff7","de21a951-bddd-4d74-9b09-36c27aa2134f","5b4c2783-8afa-420e-b3a5-f761b472a503","","true","Manual regrade via exam review interface - marking as correct","2025-09-20T00:13:47.649+00:00","2025-09-20T00:13:47.848092+00:00"
"daed6af1-9a00-420b-8a73-ec16db52a676","09b525ba-8b73-4b70-8618-5ba6d2ad2611","de21a951-bddd-4d74-9b09-36c27aa2134f","5b4c2783-8afa-420e-b3a5-f761b472a503","","true","Manual regrade via exam review interface - marking as correct","2025-09-20T00:13:51.356+00:00","2025-09-20T00:13:51.418482+00:00"
