"id","user_id","question_id","status","first_mistaken_at","last_reviewed_at"
"72","203dafeb-518f-4f26-8bb2-3552f22d5647","c51b7479-531c-47c3-ad71-5138eb2a8a38","unmastered","2025-08-31T03:07:11.002468+00:00",""
"75","c97a96e0-0bc7-413f-a265-77fa11b79792","3918c40e-4861-4faf-b187-bbbcdff8b54f","unmastered","2025-08-30T21:16:23.357363+00:00",""
"80","c97a96e0-0bc7-413f-a265-77fa11b79792","0bc50400-afa2-4a25-9876-8563a93b9596","unmastered","2025-08-31T01:55:07.892309+00:00",""
"82","c97a96e0-0bc7-413f-a265-77fa11b79792","c1a823b3-2614-4f9d-a970-e1d378445c2f","unmastered","2025-08-30T21:16:22.398858+00:00",""
"89","c97a96e0-0bc7-413f-a265-77fa11b79792","c7a78d15-1d82-4a38-b3c7-d824134bdd2b","unmastered","2025-08-30T20:11:46.291035+00:00",""
"468","c97a96e0-0bc7-413f-a265-77fa11b79792","bbbb9d29-6706-4e4b-9e94-e2f0cc427ce5","unmastered","2025-09-22T22:51:48.940386+00:00",""
"98","c97a96e0-0bc7-413f-a265-77fa11b79792","2ffc618a-747b-42e9-af9b-6133cfdde18a","unmastered","2025-09-10T03:18:14.197684+00:00",""
"280","c97a96e0-0bc7-413f-a265-77fa11b79792","c3ac1707-b534-4e42-a3e2-58aa80835e56","unmastered","2025-09-11T02:33:56.885316+00:00",""
"92","c97a96e0-0bc7-413f-a265-77fa11b79792","5af1b325-9924-401e-940f-9fad2323d217","unmastered","2025-09-10T03:14:56.959365+00:00",""
"267","c97a96e0-0bc7-413f-a265-77fa11b79792","0a78ae16-f440-489f-a038-a06365197159","unmastered","2025-09-11T02:21:09.796239+00:00",""
"338","c97a96e0-0bc7-413f-a265-77fa11b79792","3c1cf62f-ee82-4bc8-bd3b-b4302f7ab01c","unmastered","2025-09-11T05:13:55.359909+00:00",""
"469","c97a96e0-0bc7-413f-a265-77fa11b79792","e011ad94-8115-4283-a75b-821d439bb6e1","unmastered","2025-09-22T22:51:48.940386+00:00",""
"276","c97a96e0-0bc7-413f-a265-77fa11b79792","868d2852-fe3d-4c49-a6a3-a50c67a4ff16","unmastered","2025-09-11T02:30:06.130585+00:00",""
"105","c97a96e0-0bc7-413f-a265-77fa11b79792","63a6da64-0d64-4441-b2d9-8d9133555411","unmastered","2025-09-10T03:19:34.490693+00:00",""
"285","c97a96e0-0bc7-413f-a265-77fa11b79792","bd8f76e6-ff75-4b58-8982-40e5cdb6f2f0","unmastered","2025-09-11T02:34:57.140966+00:00",""
"301","c97a96e0-0bc7-413f-a265-77fa11b79792","fab30749-3a69-463e-be9e-45f9b7475874","unmastered","2025-09-11T02:41:15.287521+00:00",""
"347","c97a96e0-0bc7-413f-a265-77fa11b79792","bb8273d5-9965-4c03-9990-bdf3647d291c","unmastered","2025-09-11T05:14:49.684806+00:00",""
"306","c97a96e0-0bc7-413f-a265-77fa11b79792","44936820-ea25-4619-8082-ab23be63550e","unmastered","2025-09-11T02:45:40.621114+00:00",""
"250","a401eb6c-89fe-4325-b0bc-f682c00f6f58","5d01d05b-19c8-46e5-88ac-4e732780516b","unmastered","2025-09-10T15:13:32.749056+00:00",""
"352","c97a96e0-0bc7-413f-a265-77fa11b79792","c065205e-e365-4e26-97c3-16b016ced68b","unmastered","2025-09-11T05:15:51.642962+00:00",""
"470","c97a96e0-0bc7-413f-a265-77fa11b79792","b0e1d566-fb57-47e5-a027-eed260dffcf4","unmastered","2025-09-22T22:51:48.940386+00:00",""
"298","c97a96e0-0bc7-413f-a265-77fa11b79792","ccb458a0-7730-4491-800b-815e13be6468","unmastered","2025-09-11T02:37:15.836545+00:00",""
"364","c97a96e0-0bc7-413f-a265-77fa11b79792","1c89792c-5543-4e89-8105-a677f5aa4413","unmastered","2025-09-11T05:20:53.697282+00:00",""
"471","c97a96e0-0bc7-413f-a265-77fa11b79792","e7d434f8-23fc-4077-ae3b-ffdd2a281641","unmastered","2025-09-22T22:51:48.940386+00:00",""
"315","c97a96e0-0bc7-413f-a265-77fa11b79792","2bd3d959-73a2-43e4-8f1e-ab4193b1c429","unmastered","2025-09-11T02:47:19.302102+00:00",""
"472","c97a96e0-0bc7-413f-a265-77fa11b79792","c7ec5617-b8ff-4151-9ec9-d7b3031ce8cc","unmastered","2025-09-22T22:51:48.940386+00:00",""
